nama_region,nama_negara,tahun,jumlah_proyek,nilai_investasi
"Eropa","Belanda",2011,118,1354.4
"Eropa","Norwegia",2011,1,
"Eropa","Jerman",2011,63,158.1
"Eropa","Inggris",2011,156,419
"Eropa","Swiss",2011,29,9.4
"Eropa","Eropa Lainnya",2011,63,86.9
"Asia","Jepang",2011,421,1516.1
"Asia","Korea Selatan",2011,456,1218.7
"Asia","Hongkong",2011,104,135
"Asia","Taiwan",2011,87,243.2
"Asia","Singapura",2011,679,5123
"Asia","India",2011,58,41.9
"Asia","Asia Lainnya",2011,506,857.6
"Australia","Australia",2011,123,89.7
"Australia","Selandia Baru",2011,9,
"Australia","Australia lainnya",2011,10,22.4
"Afrika","Nigeria",2011,,
"Afrika","Afrika Lainnya",2011,57,202.2
"Gabungan Negara","Gabungan Negara",2011,992,5826.2
"Amerika","USA",2012,97,1238.3
"Amerika","Kanada",2012,14,8.5
"Amerika","Amerika lainnya",2012,234,892.7
"Eropa","Belgia",2012,16,23.9
"Eropa","Denmark",2012,3,.1
"Eropa","Perancis",2012,52,158.7
"Eropa","Italia",2012,25,22.9
"Eropa","Belanda",2012,131,966.5
"Eropa","Norwegia",2012,5,7.8
"Eropa","Jerman",2012,71,75.8
"Eropa","Inggris",2012,97,934.4
"Eropa","Swiss",2012,37,255.1
"Eropa","Eropa Lainnya",2012,83,128.7
"Asia","Jepang",2012,405,2456.9
"Asia","Korea Selatan",2012,421,1949.7
"Asia","Hongkong",2012,105,309.6
"Asia","Taiwan",2012,85,646.9
"Asia","Singapura",2012,805,4856.4
"Asia","India",2012,58,78.1
"Asia","Asia Lainnya",2012,485,800.8
"Australia","Australia",2012,137,743.6
"Australia","Selandia Baru",2012,3,
"Australia","Australia lainnya",2012,4,1.8
"Afrika","Nigeria",2012,1,
"Afrika","Afrika Lainnya",2012,41,1195.7
"Gabungan Negara","Gabungan Negara",2012,1164,6811.8
